antecedents,consequents,support,confidence,lift
"ci/cd, docker, gitlab",gitlab_ci,0.0508130081300813,0.7812499999999999,10.677083333333332
gitlab_ci,"ci/cd, docker, gitlab",0.0508130081300813,0.6944444444444444,10.677083333333332
"docker, gitlab","ci/cd, gitlab_ci",0.0508130081300813,0.7142857142857143,10.64935064935065
"ci/cd, gitlab_ci","docker, gitlab",0.0508130081300813,0.7575757575757575,10.649350649350648
"docker, gitlab",gitlab_ci,0.054878048780487805,0.7714285714285715,10.542857142857144
gitlab_ci,"docker, gitlab",0.054878048780487805,0.75,10.542857142857143
"gitlab_ci, docker","ci/cd, gitlab",0.0508130081300813,0.9259259259259259,10.353535353535353
"ci/cd, gitlab","gitlab_ci, docker",0.0508130081300813,0.5681818181818181,10.353535353535353
"ci/cd, gitlab",gitlab_ci,0.06707317073170732,0.75,10.25
gitlab_ci,"ci/cd, gitlab",0.06707317073170732,0.9166666666666667,10.25
css,html,0.059959349593495935,0.7763157894736842,9.669553630912723
html,css,0.059959349593495935,0.7468354430379747,9.669553630912723
"gitlab_ci, docker",gitlab,0.054878048780487805,1.0,9.283018867924529
"ci/cd, gitlab_ci",gitlab,0.06707317073170732,1.0,9.283018867924529
gitlab,"gitlab_ci, docker",0.054878048780487805,0.5094339622641509,9.283018867924529
"ci/cd, gitlab_ci, docker",gitlab,0.0508130081300813,1.0,9.283018867924529
gitlab,"ci/cd, gitlab_ci",0.06707317073170732,0.6226415094339622,9.283018867924527
gitlab_ci,gitlab,0.07215447154471545,0.9861111111111113,9.154088050314467
gitlab,gitlab_ci,0.07215447154471545,0.6698113207547169,9.154088050314465
scrum,agile,0.05386178861788618,0.7794117647058824,7.101307189542483
